1010:0F0B  d00 mov ds,cs:[9596]                   AX=6993 BX=00B1 CX=000D DX=0000 SI=10C6 DI=1072 BP=0000 SP=A276 CS:IP=1010:0F10 DS=25CC ES=25CC SS=25CC FLAGS=0202
1010:0F10  d00 mov es,cs:[9596]                   AX=6993 BX=00B1 CX=000D DX=0000 SI=10C6 DI=1072 BP=0000 SP=A276 CS:IP=1010:0F15 DS=25CC ES=25CC SS=25CC FLAGS=0202
1010:0F15  d00 mov di,99C8h                       AX=6993 BX=00B1 CX=000D DX=0000 SI=10C6 DI=99C8 BP=0000 SP=A276 CS:IP=1010:0F18 DS=25CC ES=25CC SS=25CC FLAGS=0202
1010:0F18  d00 mov cx,0010h                       AX=6993 BX=00B1 CX=0010 DX=0000 SI=10C6 DI=99C8 BP=0000 SP=A276 CS:IP=1010:0F1B DS=25CC ES=25CC SS=25CC FLAGS=0202
1010:0F1B  d00 mov ax,FFFFh                       AX=FFFF BX=00B1 CX=0010 DX=0000 SI=10C6 DI=99C8 BP=0000 SP=A276 CS:IP=1010:0F1E DS=25CC ES=25CC SS=25CC FLAGS=0202
1010:0F1E  d00 rep stosw ; 16                     AX=FFFF BX=00B1 CX=0000 DX=0000 SI=10C6 DI=99E8 BP=0000 SP=A276 CS:IP=1010:0F20 DS=25CC ES=25CC SS=25CC FLAGS=0202
1010:0F20  d00 mov ax,[959E]                      AX=0034 BX=00B1 CX=0000 DX=0000 SI=10C6 DI=99E8 BP=0000 SP=A276 CS:IP=1010:0F24 DS=25CC ES=25CC SS=25CC FLAGS=0202
1010:0F24  d00 shift/4 ax,1                       AX=0068 BX=00B1 CX=0000 DX=0000 SI=10C6 DI=99E8 BP=0000 SP=A276 CS:IP=1010:0F26 DS=25CC ES=25CC SS=25CC FLAGS=0202
1010:0F26  d00 shift/4 ax,1                       AX=00D0 BX=00B1 CX=0000 DX=0000 SI=10C6 DI=99E8 BP=0000 SP=A276 CS:IP=1010:0F28 DS=25CC ES=25CC SS=25CC FLAGS=0202
1010:0F28  d00 shift/4 ax,1                       AX=01A0 BX=00B1 CX=0000 DX=0000 SI=10C6 DI=99E8 BP=0000 SP=A276 CS:IP=1010:0F2A DS=25CC ES=25CC SS=25CC FLAGS=0206
1010:0F2A  d00 shift/4 ax,1                       AX=0340 BX=00B1 CX=0000 DX=0000 SI=10C6 DI=99E8 BP=0000 SP=A276 CS:IP=1010:0F2C DS=25CC ES=25CC SS=25CC FLAGS=0202
