stopped after 5000 steps
AX=0055 BX=32FF CX=0000 DX=17B0 SI=FFEC DI=FFED BP=0000 SP=0080 CS:IP=32FF:009B DS=102D ES=1798 SS=3324 FLAGS=0646

2376:0010  d00 mov bp,ax                          AX=0000 BX=0000 CX=0000 DX=0000 SI=0000 DI=0000 BP=0000 SP=0080 CS:IP=2376:0012 DS=1000 ES=1000 SS=3324 FLAGS=0202
2376:0012  d00 mov ax,es                          AX=1000 BX=0000 CX=0000 DX=0000 SI=0000 DI=0000 BP=0000 SP=0080 CS:IP=2376:0014 DS=1000 ES=1000 SS=3324 FLAGS=0202
2376:0014  d00 add ax,0010h                       AX=1010 BX=0000 CX=0000 DX=0000 SI=0000 DI=0000 BP=0000 SP=0080 CS:IP=2376:0017 DS=1000 ES=1000 SS=3324 FLAGS=0202
2376:0017  d00 push cs                            AX=1010 BX=0000 CX=0000 DX=0000 SI=0000 DI=0000 BP=0000 SP=007E CS:IP=2376:0018 DS=1000 ES=1000 SS=3324 FLAGS=0202
2376:0018  d00 pop ds                             AX=1010 BX=0000 CX=0000 DX=0000 SI=0000 DI=0000 BP=0000 SP=0080 CS:IP=2376:0019 DS=2376 ES=1000 SS=3324 FLAGS=0202
2376:0019  d00 mov [0004],ax                      AX=1010 BX=0000 CX=0000 DX=0000 SI=0000 DI=0000 BP=0000 SP=0080 CS:IP=2376:001C DS=2376 ES=1000 SS=3324 FLAGS=0202
2376:001C  d00 add ax,ds:[000C]                   AX=32FF BX=0000 CX=0000 DX=0000 SI=0000 DI=0000 BP=0000 SP=0080 CS:IP=2376:0020 DS=2376 ES=1000 SS=3324 FLAGS=0206
2376:0020  d00 mov es,ax                          AX=32FF BX=0000 CX=0000 DX=0000 SI=0000 DI=0000 BP=0000 SP=0080 CS:IP=2376:0022 DS=2376 ES=32FF SS=3324 FLAGS=0206
2376:0022  d00 mov cx,ds:[0006]                   AX=32FF BX=0000 CX=0248 DX=0000 SI=0000 DI=0000 BP=0000 SP=0080 CS:IP=2376:0026 DS=2376 ES=32FF SS=3324 FLAGS=0206
2376:0026  d00 mov di,cx                          AX=32FF BX=0000 CX=0248 DX=0000 SI=0000 DI=0248 BP=0000 SP=0080 CS:IP=2376:0028 DS=2376 ES=32FF SS=3324 FLAGS=0206
2376:0028  d00 dec di                             AX=32FF BX=0000 CX=0248 DX=0000 SI=0000 DI=0247 BP=0000 SP=0080 CS:IP=2376:0029 DS=2376 ES=32FF SS=3324 FLAGS=0206
2376:0029  d00 mov si,di                          AX=32FF BX=0000 CX=0248 DX=0000 SI=0247 DI=0247 BP=0000 SP=0080 CS:IP=2376:002B DS=2376 ES=32FF SS=3324 FLAGS=0206
2376:002B  d00 std                                AX=32FF BX=0000 CX=0248 DX=0000 SI=0247 DI=0247 BP=0000 SP=0080 CS:IP=2376:002C DS=2376 ES=32FF SS=3324 FLAGS=0606
2376:002C  d00 rep movsb ; 584                    AX=32FF BX=0000 CX=0000 DX=0000 SI=FFFF DI=FFFF BP=0000 SP=0080 CS:IP=2376:002E DS=2376 ES=32FF SS=3324 FLAGS=0606
2376:002E  d00 push ax                            AX=32FF BX=0000 CX=0000 DX=0000 SI=FFFF DI=FFFF BP=0000 SP=007E CS:IP=2376:002F DS=2376 ES=32FF SS=3324 FLAGS=0606
2376:002F  d00 mov ax,0034h                       AX=0034 BX=0000 CX=0000 DX=0000 SI=FFFF DI=FFFF BP=0000 SP=007E CS:IP=2376:0032 DS=2376 ES=32FF SS=3324 FLAGS=0606
2376:0032  d00 push ax                            AX=0034 BX=0000 CX=0000 DX=0000 SI=FFFF DI=FFFF BP=0000 SP=007C CS:IP=2376:0033 DS=2376 ES=32FF SS=3324 FLAGS=0606
2376:0033  d00 ret far -> 32FF:0034               AX=0034 BX=0000 CX=0000 DX=0000 SI=FFFF DI=FFFF BP=0000 SP=0080 CS:IP=32FF:0034 DS=2376 ES=32FF SS=3324 FLAGS=0606
32FF:0034  d00 mov bx,es                          AX=0034 BX=32FF CX=0000 DX=0000 SI=FFFF DI=FFFF BP=0000 SP=0080 CS:IP=32FF:0036 DS=2376 ES=32FF SS=3324 FLAGS=0606
32FF:0036  d00 mov ax,ds                          AX=2376 BX=32FF CX=0000 DX=0000 SI=FFFF DI=FFFF BP=0000 SP=0080 CS:IP=32FF:0038 DS=2376 ES=32FF SS=3324 FLAGS=0606
32FF:0038  d00 dec ax                             AX=2375 BX=32FF CX=0000 DX=0000 SI=FFFF DI=FFFF BP=0000 SP=0080 CS:IP=32FF:0039 DS=2376 ES=32FF SS=3324 FLAGS=0602
32FF:0039  d00 mov ds,ax                          AX=2375 BX=32FF CX=0000 DX=0000 SI=FFFF DI=FFFF BP=0000 SP=0080 CS:IP=32FF:003B DS=2375 ES=32FF SS=3324 FLAGS=0602
32FF:003B  d00 mov es,ax                          AX=2375 BX=32FF CX=0000 DX=0000 SI=FFFF DI=FFFF BP=0000 SP=0080 CS:IP=32FF:003D DS=2375 ES=2375 SS=3324 FLAGS=0602
32FF:003D  d00 mov di,000Fh                       AX=2375 BX=32FF CX=0000 DX=0000 SI=FFFF DI=000F BP=0000 SP=0080 CS:IP=32FF:0040 DS=2375 ES=2375 SS=3324 FLAGS=0602
32FF:0040  d00 mov cx,0010h                       AX=2375 BX=32FF CX=0010 DX=0000 SI=FFFF DI=000F BP=0000 SP=0080 CS:IP=32FF:0043 DS=2375 ES=2375 SS=3324 FLAGS=0602
32FF:0043  d00 mov al,FFh                         AX=23FF BX=32FF CX=0010 DX=0000 SI=FFFF DI=000F BP=0000 SP=0080 CS:IP=32FF:0045 DS=2375 ES=2375 SS=3324 FLAGS=0602
32FF:0045  d00 rep scasb ; 15                     AX=23FF BX=32FF CX=0001 DX=0000 SI=FFFF DI=0000 BP=0000 SP=0080 CS:IP=32FF:0047 DS=2375 ES=2375 SS=3324 FLAGS=0602
32FF:0047  d00 inc di                             AX=23FF BX=32FF CX=0001 DX=0000 SI=FFFF DI=0001 BP=0000 SP=0080 CS:IP=32FF:0048 DS=2375 ES=2375 SS=3324 FLAGS=0602
32FF:0048  d00 mov si,di                          AX=23FF BX=32FF CX=0001 DX=0000 SI=0001 DI=0001 BP=0000 SP=0080 CS:IP=32FF:004A DS=2375 ES=2375 SS=3324 FLAGS=0602
32FF:004A  d00 mov ax,bx                          AX=32FF BX=32FF CX=0001 DX=0000 SI=0001 DI=0001 BP=0000 SP=0080 CS:IP=32FF:004C DS=2375 ES=2375 SS=3324 FLAGS=0602
32FF:004C  d00 dec ax                             AX=32FE BX=32FF CX=0001 DX=0000 SI=0001 DI=0001 BP=0000 SP=0080 CS:IP=32FF:004D DS=2375 ES=2375 SS=3324 FLAGS=0602
32FF:004D  d00 mov es,ax                          AX=32FE BX=32FF CX=0001 DX=0000 SI=0001 DI=0001 BP=0000 SP=0080 CS:IP=32FF:004F DS=2375 ES=32FE SS=3324 FLAGS=0602
32FF:004F  d00 mov di,000Fh                       AX=32FE BX=32FF CX=0001 DX=0000 SI=0001 DI=000F BP=0000 SP=0080 CS:IP=32FF:0052 DS=2375 ES=32FE SS=3324 FLAGS=0602
32FF:0052  d00 mov cl,04h                         AX=32FE BX=32FF CX=0004 DX=0000 SI=0001 DI=000F BP=0000 SP=0080 CS:IP=32FF:0054 DS=2375 ES=32FE SS=3324 FLAGS=0602
32FF:0054  d00 mov ax,si                          AX=0001 BX=32FF CX=0004 DX=0000 SI=0001 DI=000F BP=0000 SP=0080 CS:IP=32FF:0056 DS=2375 ES=32FE SS=3324 FLAGS=0602
32FF:0056  d00 not ax                             AX=FFFE BX=32FF CX=0004 DX=0000 SI=0001 DI=000F BP=0000 SP=0080 CS:IP=32FF:0058 DS=2375 ES=32FE SS=3324 FLAGS=0602
32FF:0058  d00 shift/5 ax,4                       AX=0FFF BX=32FF CX=0004 DX=0000 SI=0001 DI=000F BP=0000 SP=0080 CS:IP=32FF:005A DS=2375 ES=32FE SS=3324 FLAGS=0607
32FF:005A  d00 mov dx,ds                          AX=0FFF BX=32FF CX=0004 DX=2375 SI=0001 DI=000F BP=0000 SP=0080 CS:IP=32FF:005C DS=2375 ES=32FE SS=3324 FLAGS=0607
32FF:005C  d00 sub dx,ax                          AX=0FFF BX=32FF CX=0004 DX=1376 SI=0001 DI=000F BP=0000 SP=0080 CS:IP=32FF:005E DS=2375 ES=32FE SS=3324 FLAGS=0612
32FF:005E  d00 jnb -> 32FF:0064 taken             AX=0FFF BX=32FF CX=0004 DX=1376 SI=0001 DI=000F BP=0000 SP=0080 CS:IP=32FF:0064 DS=2375 ES=32FE SS=3324 FLAGS=0612
32FF:0064  d00 shift/4 ax,4                       AX=FFF0 BX=32FF CX=0004 DX=1376 SI=0001 DI=000F BP=0000 SP=0080 CS:IP=32FF:0066 DS=2375 ES=32FE SS=3324 FLAGS=0696
32FF:0066  d00 add si,ax                          AX=FFF0 BX=32FF CX=0004 DX=1376 SI=FFF1 DI=000F BP=0000 SP=0080 CS:IP=32FF:0068 DS=2375 ES=32FE SS=3324 FLAGS=0682
32FF:0068  d00 mov ds,dx                          AX=FFF0 BX=32FF CX=0004 DX=1376 SI=FFF1 DI=000F BP=0000 SP=0080 CS:IP=32FF:006A DS=1376 ES=32FE SS=3324 FLAGS=0682
32FF:006A  d00 mov ax,di                          AX=000F BX=32FF CX=0004 DX=1376 SI=FFF1 DI=000F BP=0000 SP=0080 CS:IP=32FF:006C DS=1376 ES=32FE SS=3324 FLAGS=0682
32FF:006C  d00 not ax                             AX=FFF0 BX=32FF CX=0004 DX=1376 SI=FFF1 DI=000F BP=0000 SP=0080 CS:IP=32FF:006E DS=1376 ES=32FE SS=3324 FLAGS=0682
32FF:006E  d00 shift/5 ax,4                       AX=0FFF BX=32FF CX=0004 DX=1376 SI=FFF1 DI=000F BP=0000 SP=0080 CS:IP=32FF:0070 DS=1376 ES=32FE SS=3324 FLAGS=0606
32FF:0070  d00 mov dx,es                          AX=0FFF BX=32FF CX=0004 DX=32FE SI=FFF1 DI=000F BP=0000 SP=0080 CS:IP=32FF:0072 DS=1376 ES=32FE SS=3324 FLAGS=0606
32FF:0072  d00 sub dx,ax                          AX=0FFF BX=32FF CX=0004 DX=22FF SI=FFF1 DI=000F BP=0000 SP=0080 CS:IP=32FF:0074 DS=1376 ES=32FE SS=3324 FLAGS=0616
