1010:C6FC  d03 mov ax,[0244]                      AX=7D04 BX=0008 CX=3B20 DX=0410 SI=1314 DI=7D04 BP=FFFF SP=A272 CS:IP=1010:C700 DS=25CC ES=7000 SS=25CC FLAGS=0246
1010:C700  d03 mov [21A8],ax                      AX=7D04 BX=0008 CX=3B20 DX=0410 SI=1314 DI=7D04 BP=FFFF SP=A272 CS:IP=1010:C703 DS=25CC ES=7000 SS=25CC FLAGS=0246
1010:C703  d04 call near -> 1010:C707 ret=C706    AX=7D04 BX=0008 CX=3B20 DX=0410 SI=1314 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C707 DS=25CC ES=7000 SS=25CC FLAGS=0246
1010:C707  d04 cmp cs:[95BC],0002h                AX=7D04 BX=0008 CX=3B20 DX=0410 SI=1314 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C70D DS=25CC ES=7000 SS=25CC FLAGS=0293
1010:C70D  d04 jnz -> 1010:C710 taken             AX=7D04 BX=0008 CX=3B20 DX=0410 SI=1314 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C710 DS=25CC ES=7000 SS=25CC FLAGS=0293
1010:C710  d04 mov si,14D0h                       AX=7D04 BX=0008 CX=3B20 DX=0410 SI=14D0 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C713 DS=25CC ES=7000 SS=25CC FLAGS=0293
1010:C713  d04 lodsw                              AX=1298 BX=0008 CX=3B20 DX=0410 SI=14D2 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C714 DS=25CC ES=7000 SS=25CC FLAGS=0293
1010:C714  d04 cmp ax,ds:[21AA]                   AX=1298 BX=0008 CX=3B20 DX=0410 SI=14D2 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C718 DS=25CC ES=7000 SS=25CC FLAGS=0287
1010:C718  d04 jnz -> 1010:C71B taken             AX=1298 BX=0008 CX=3B20 DX=0410 SI=14D2 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C71B DS=25CC ES=7000 SS=25CC FLAGS=0287
1010:C71B  d04 cmp ax,FFFFh                       AX=1298 BX=0008 CX=3B20 DX=0410 SI=14D2 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C71E DS=25CC ES=7000 SS=25CC FLAGS=0217
1010:C71E  d04 jnz -> 1010:C713 taken             AX=1298 BX=0008 CX=3B20 DX=0410 SI=14D2 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C713 DS=25CC ES=7000 SS=25CC FLAGS=0217
1010:C713  d04 lodsw                              AX=12A4 BX=0008 CX=3B20 DX=0410 SI=14D4 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C714 DS=25CC ES=7000 SS=25CC FLAGS=0217
1010:C714  d04 cmp ax,ds:[21AA]                   AX=12A4 BX=0008 CX=3B20 DX=0410 SI=14D4 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C718 DS=25CC ES=7000 SS=25CC FLAGS=0287
1010:C718  d04 jnz -> 1010:C71B taken             AX=12A4 BX=0008 CX=3B20 DX=0410 SI=14D4 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C71B DS=25CC ES=7000 SS=25CC FLAGS=0287
1010:C71B  d04 cmp ax,FFFFh                       AX=12A4 BX=0008 CX=3B20 DX=0410 SI=14D4 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C71E DS=25CC ES=7000 SS=25CC FLAGS=0217
1010:C71E  d04 jnz -> 1010:C713 taken             AX=12A4 BX=0008 CX=3B20 DX=0410 SI=14D4 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C713 DS=25CC ES=7000 SS=25CC FLAGS=0217
1010:C713  d04 lodsw                              AX=12B0 BX=0008 CX=3B20 DX=0410 SI=14D6 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C714 DS=25CC ES=7000 SS=25CC FLAGS=0217
1010:C714  d04 cmp ax,ds:[21AA]                   AX=12B0 BX=0008 CX=3B20 DX=0410 SI=14D6 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C718 DS=25CC ES=7000 SS=25CC FLAGS=0297
1010:C718  d04 jnz -> 1010:C71B taken             AX=12B0 BX=0008 CX=3B20 DX=0410 SI=14D6 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C71B DS=25CC ES=7000 SS=25CC FLAGS=0297
1010:C71B  d04 cmp ax,FFFFh                       AX=12B0 BX=0008 CX=3B20 DX=0410 SI=14D6 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C71E DS=25CC ES=7000 SS=25CC FLAGS=0217
1010:C71E  d04 jnz -> 1010:C713 taken             AX=12B0 BX=0008 CX=3B20 DX=0410 SI=14D6 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C713 DS=25CC ES=7000 SS=25CC FLAGS=0217
1010:C713  d04 lodsw                              AX=12BD BX=0008 CX=3B20 DX=0410 SI=14D8 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C714 DS=25CC ES=7000 SS=25CC FLAGS=0217
1010:C714  d04 cmp ax,ds:[21AA]                   AX=12BD BX=0008 CX=3B20 DX=0410 SI=14D8 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C718 DS=25CC ES=7000 SS=25CC FLAGS=0287
1010:C718  d04 jnz -> 1010:C71B taken             AX=12BD BX=0008 CX=3B20 DX=0410 SI=14D8 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C71B DS=25CC ES=7000 SS=25CC FLAGS=0287
1010:C71B  d04 cmp ax,FFFFh                       AX=12BD BX=0008 CX=3B20 DX=0410 SI=14D8 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C71E DS=25CC ES=7000 SS=25CC FLAGS=0217
1010:C71E  d04 jnz -> 1010:C713 taken             AX=12BD BX=0008 CX=3B20 DX=0410 SI=14D8 DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C713 DS=25CC ES=7000 SS=25CC FLAGS=0217
1010:C713  d04 lodsw                              AX=12CD BX=0008 CX=3B20 DX=0410 SI=14DA DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C714 DS=25CC ES=7000 SS=25CC FLAGS=0217
1010:C714  d04 cmp ax,ds:[21AA]                   AX=12CD BX=0008 CX=3B20 DX=0410 SI=14DA DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C718 DS=25CC ES=7000 SS=25CC FLAGS=0283
1010:C718  d04 jnz -> 1010:C71B taken             AX=12CD BX=0008 CX=3B20 DX=0410 SI=14DA DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C71B DS=25CC ES=7000 SS=25CC FLAGS=0283
1010:C71B  d04 cmp ax,FFFFh                       AX=12CD BX=0008 CX=3B20 DX=0410 SI=14DA DI=7D04 BP=FFFF SP=A270 CS:IP=1010:C71E DS=25CC ES=7000 SS=25CC FLAGS=0213
