1010:5827  HOOK overkill_ega_planar_to_linear_copy_5827 AX=0028 BX=45E6 CX=00C8 DX=03CE SI=0000 DI=0004 BP=FFFF SP=A274 CS:IP=1010:5827 DS=B800 ES=7000 SS=25CC FLAGS=0256 -> AX=0028 BX=0000 CX=0000 DX=03CE SI=1F40 DI=3E84 BP=FFFF SP=A274 CS:IP=1010:58A4 DS=B800 ES=7000 SS=25CC FLAGS=0297
1010:58A4  d00 mov ds,cs:[9598]                   AX=0028 BX=0000 CX=0000 DX=03CE SI=1F40 DI=3E84 BP=FFFF SP=A274 CS:IP=1010:58A9 DS=7000 ES=7000 SS=25CC FLAGS=0297
1010:58A9  d00 xor di,di                          AX=0028 BX=0000 CX=0000 DX=03CE SI=1F40 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58AB DS=7000 ES=7000 SS=25CC FLAGS=0256
1010:58AB  d00 xor si,si                          AX=0028 BX=0000 CX=0000 DX=03CE SI=0000 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58AD DS=7000 ES=7000 SS=25CC FLAGS=0256
1010:58AD  d00 mov cx,0001h                       AX=0028 BX=0000 CX=0001 DX=03CE SI=0000 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58B0 DS=7000 ES=7000 SS=25CC FLAGS=0256
1010:58B0  d00 lodsw                              AX=00C8 BX=0000 CX=0001 DX=03CE SI=0002 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58B1 DS=7000 ES=7000 SS=25CC FLAGS=0256
1010:58B1  d00 mov [58FD],ax                      AX=00C8 BX=0000 CX=0001 DX=03CE SI=0002 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58B5 DS=7000 ES=7000 SS=25CC FLAGS=0256
1010:58B5  d00 lodsw                              AX=0028 BX=0000 CX=0001 DX=03CE SI=0004 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58B6 DS=7000 ES=7000 SS=25CC FLAGS=0256
1010:58B6  d00 mov [58FF],ax                      AX=0028 BX=0000 CX=0001 DX=03CE SI=0004 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58BA DS=7000 ES=7000 SS=25CC FLAGS=0256
1010:58BA  d00 mov cs:[58FB],si                   AX=0028 BX=0000 CX=0001 DX=03CE SI=0004 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58BF DS=7000 ES=7000 SS=25CC FLAGS=0256
1010:58BF  d00 mov cs:[58F9],di                   AX=0028 BX=0000 CX=0001 DX=03CE SI=0004 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58C4 DS=7000 ES=7000 SS=25CC FLAGS=0256
1010:58C4  d00 mov cs:[5905],0000h                AX=0028 BX=0000 CX=0001 DX=03CE SI=0004 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58CB DS=7000 ES=7000 SS=25CC FLAGS=0256
1010:58CB  d00 mov cs:[5907],0000h                AX=0028 BX=0000 CX=0001 DX=03CE SI=0004 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58D2 DS=7000 ES=7000 SS=25CC FLAGS=0256
1010:58D2  d00 mov es,cs:[95A4]                   AX=0028 BX=0000 CX=0001 DX=03CE SI=0004 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58D7 DS=7000 ES=B800 SS=25CC FLAGS=0256
1010:58D7  d00 mov cx,cs:[58FD]                   AX=0028 BX=0000 CX=00C8 DX=03CE SI=0004 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58DC DS=7000 ES=B800 SS=25CC FLAGS=0256
1010:58DC  d00 sub cx,0002h                       AX=0028 BX=0000 CX=00C6 DX=03CE SI=0004 DI=0000 BP=FFFF SP=A274 CS:IP=1010:58DF DS=7000 ES=B800 SS=25CC FLAGS=0206
